,Country,Cloudiness,Humidity,Date,Latitude,Longitude,Max Temp,Wind Speed,City
83,RU,100,99,1616429298,69.3,139.9,-26.31,0.57,deputatskiy
84,ZA,4,66,1616429299,-33.5906,26.891,19.62,4.37,port alfred
85,PG,76,77,1616429301,-2.5744,150.7967,27.89,3.37,kavieng
86,US,90,71,1616429302,36.6177,-121.9166,11.11,2.06,pacific grove
87,RU,100,94,1616429303,60.6308,47.2512,-0.93,4.5,luza
88,JP,40,51,1616429306,26.1247,127.6694,16.0,6.17,itoman
89,KG,100,63,1616429307,41.1702,75.8106,0.15,1.98,at-bashi
90,KI,68,79,1616429309,3.0707,172.7902,27.65,6.94,butaritari
91,SA,0,10,1616429030,24.6877,46.7219,33.0,2.57,riyadh
92,CU,40,69,1616429311,20.5603,-76.9161,27.0,1.03,rio cauto
93,ZA,20,60,1616429305,-33.0153,27.9116,22.0,4.12,east london
94,RU,93,83,1616429314,65.5833,-171.0,-21.02,2.22,lavrentiya
95,PE,0,54,1616429102,-13.7,-76.2167,27.0,9.26,pisco
96,RU,100,95,1616429316,59.6289,112.7406,-21.91,1.6,peleduy
97,MY,20,74,1616429219,5.4112,100.3354,29.0,2.57,georgetown
98,US,75,60,1616429319,28.017,-97.5169,24.0,11.83,san patricio
99,RU,0,54,1616429320,68.0546,166.4372,-26.99,1.54,bilibino
100,US,90,86,1616429321,57.79,-152.4072,-1.0,1.54,kodiak
101,MV,48,73,1616429323,-0.6,73.0833,28.85,4.94,hithadhoo
102,US,1,29,1616429324,42.6,-84.3833,18.0,5.66,ingham
103,AU,40,100,1616429326,-35.35,150.4667,17.22,2.57,ulladulla
104,GB,54,64,1616429272,51.3813,1.3862,11.11,0.45,margate
105,GF,60,92,1616429328,5.155,-54.3472,26.91,1.64,apatou
106,FO,79,88,1616429330,61.4732,-6.8119,8.34,12.64,vagur
107,US,90,81,1616428919,45.5234,-122.6762,7.0,3.33,portland
108,MZ,100,81,1616429332,-16.2325,39.9086,26.67,3.93,angoche
109,BR,40,62,1616429334,-20.3297,-40.2925,31.11,4.63,vila velha
110,BR,100,74,1616429335,-30.1811,-50.2056,23.57,4.36,cidreira
111,IN,0,76,1616429336,14.9167,79.9833,25.35,3.45,kavali
112,AU,100,96,1616429338,-34.5833,150.8552,19.44,1.34,flinders
113,MU,40,83,1616429339,-20.4081,57.7,27.0,3.09,mahebourg
114,CA,75,80,1616429340,50.1001,-91.917,-1.0,4.63,sioux lookout
115,RU,19,86,1616429342,64.571,30.5767,-6.59,2.68,kostomuksha
116,BF,7,10,1616429286,12.0708,1.7889,41.45,1.84,diapaga
117,NC,22,75,1616429385,-20.2333,164.0167,25.87,6.09,poum
118,NZ,93,93,1616429386,-46.2817,169.8464,10.81,1.4,kaitangata
119,RU,100,91,1616429388,53.9599,81.2093,1.05,5.64,krutikha
120,AU,90,73,1616429389,-28.7667,114.6,21.0,5.66,geraldton
121,US,40,60,1616429390,29.4608,-95.0513,21.67,6.69,dickinson
122,BS,92,63,1616429126,26.5412,-77.0636,23.73,5.37,marsh harbour
123,RU,100,98,1616429393,71.6872,128.8694,-29.11,3.03,tiksi
124,PH,77,85,1616429394,10.9995,122.6711,25.72,4.69,dingle
125,CN,22,71,1616429396,43.5833,127.5667,-0.97,2.1,baishishan
126,MU,40,83,1616429397,-20.5167,57.5167,27.0,3.09,souillac
127,RO,100,42,1616429399,46.4333,26.4,3.33,2.86,asau
128,NO,75,93,1616429400,66.4043,14.5233,3.33,1.03,storforshei
129,RU,0,88,1616429402,69.7008,170.3133,-29.73,1.89,pevek
130,BR,0,58,1616429205,-22.9661,-42.0278,34.0,6.17,arraial do cabo
131,CN,88,27,1616429404,42.8,93.45,7.34,1.28,hami
132,AU,0,78,1616429405,-24.8667,113.6333,25.0,9.26,carnarvon
133,CL,0,57,1616429407,-35.3333,-72.4167,20.23,3.07,constitucion
134,RU,64,87,1616429408,68.0531,39.5131,-5.25,6.36,ostrovnoy
135,PG,45,79,1616429409,-3.6667,152.4333,26.47,2.85,namatanai
136,CA,40,61,1616429411,55.7435,-97.8558,-12.0,4.12,thompson
137,US,90,93,1616429412,43.4065,-124.2243,9.0,6.69,north bend
138,CA,57,30,1616429414,43.7501,-81.7165,14.0,6.17,goderich
139,AU,0,91,1616429415,-38.2667,141.9667,16.3,3.25,codrington
140,LY,99,7,1616429417,29.0331,21.5482,37.06,11.08,jalu
141,US,1,65,1616429301,64.8378,-147.7164,-18.0,1.2,fairbanks
